Nom de la gare;Code UIC complet;Code postal;Segmentation DRG 2018;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015
Pont de Sallaumines;87345124;62430;c;10953;10953;10353;10353;10272;10272.695648;11080;11080
Pontanevaux;87725721;71570;c;32343;32343;36465;36465;35218;35218.318218;36131;36131
Pontarlier;87715003;25300;b;175873;219841;187007;233759;176395;220493.91657;176497;220621
Pontcharra - Saint-Forgeux;87721464;69490;c;12257;12257;17707;17707;19419;19419.069406;18812;18812
Pontcharra sur Bréda;87747493;38530;b;645574;806967;648974;811218;604211;755264.188412;588088;735110
Pont-de-Beauvoisin;87741470;38480;b;165824;207280;205169;256461;183423;229279.958488;208662;260827
Pont-de-Claix;87747519;38800;c;5805;5805;8034;8034;8184;8184.54;12466;12466
Pont-Hébert;87447185;50880;c;286;286;455;455;340;340.0;326;326
Porchefontaine;87393165;78000;b;909945;909945;933001;933001;984012;984012.948514;985792;985792
Port-de-Bouc;87753459;13110;c;44933;44933;54574;54574;55869;55869.6489665;61419;61419
Pougues-les-Eaux;87696211;58320;c;12061;12061;12487;12487;14638;14638.864842;17385;17385
Prades - Molitg-les-Bains;87784637;66500;c;2780;2780;5209;5209;4925;4925.949766;4797;4797
Preignac;87582767;33210;c;4025;4025;5037;5037;5280;5280.199992;7319;7319
Pulligny - Autrey;87141564;54160;c;1053;1053;1349;1349;1190;1190.399314;907;907
Puyoô;87672279;64270;c;35064;35064;42721;42721;40671;40671.7;44584;44584
Quesnoy-sur-Deûle;87286245;59890;c;1248;1248;736;736;1203;1203.072258;1077;1077
Raon-l'Étape;87144626;88110;b;104082;130102;112507;140633;110172;137715.79875;118162;147703
Redon;87471300;35600;b;723108;903885;802461;1003076;817109;1021386.56217;811897;1014871
Reichshoffen;87213249;67110;b;154855;193569;153808;192260;152687;190859.32355;153302;191628
Reims;87171009;51100;a;3643133;4793596;3966061;5218502;3751481;4936160.28062;3884021;5110555
Rémilly;87192237;57580;b;198676;248345;210648;263310;204418;255523.3829;218389;272987
Rémy;87313403;60190;c;6632;6632;8298;8298;7786;7786.823354;7048;7048
Retiers;87471359;35240;c;38574;38574;43416;43416;75620;75620.550832;89786;89786
Rezé Pont Rousseau;87481036;44400;b;176216;220270;163440;204300;147178;183973.308105;113131;141414
Riedseltz;87213462;67120;c;11988;11988;9998;9998;7861;7861.712582;6855;6855
Ris-Orangis;87681338;91130;b;2144621;2144621;1999878;1999878;1829523;1829523.26544;1668234;1668234
Rocamadour - Padirac;87613042;46500;c;5726;5726;7512;7512;7031;7031.645162;6896;6896
Rohrbach-lès-Bitche;87193789;57410;;1720;1720;3011;3011;2794;2794.922858;2000;2000
Rosa Parks;87654798;75019;b;9029198;9029198;9065422;9065422;8923180;8923180.14;0;0
Rouffach;87182337;68250;b;194040;242550;198871;248589;185281;231601.2535;182304;227881
Ruffec;87583849;16700;c;70610;70610;85212;85212;89498;89498.381974;96835;96835
Sablé-sur-Sarthe;87396408;72300;b;555714;694643;566751;708439;546858;683573.084188;542337;677921
Saillans;87761817;26340;c;9770;9770;11765;11765;10594;10594.18;9405;9405
Saint-Antoine;87751826;13015;c;33061;33061;38804;38804;30814;30814.3738051;30930;30930
Saint-Aubin - Saint-Luperce;87394213;28300;c;14033;14033;12809;12809;16298;16298.323416;17792;17792
Saint-Aunès;87773465;34130;c;2523;2523;2753;2753;3160;3160.94;2971;2971
Saint-Brès - Mudaison;87773440;34670;c;273;273;468;468;468;468.24;468;468
Saint-Brieuc;87473009;22000;a;1235284;1544106;1277265;1596582;1217822;1522278.6901;1217908;1522386
Saint-Claude;87743633;39200;c;25474;25474;33105;33105;33065;33065.23199;33303;33303
Saint-Cloud;87382358;92210;b;19012319;19012319;12493614;12493614;8462103;8462103.45885;8618406;8618406
Saint-Cyprien;87595777;24220;c;8638;8638;8592;8592;7541;7541.27023;8168;8168
Saint-Cyprien Arènes;87446179;31300;b;229435;286794;288438;360548;283908;354885.403395;304711;380889
Saint-Cyr-en-Val la Source;87543116;45590;c;70305;70305;72935;72935;72580;72580.43576;77618;77618
Saint-Denis-de-Pile;87584508;33910;c;27509;27509;25184;25184;24098;24098.893154;24944;24944
Sainte-Cécile-d'Andorge;87775239;30110;c;982;982;989;989;1370;1370.999996;1303;1303
Sainte-Colombe;87715151;25300;c;13993;13993;16285;16285;13339;13339.46221;13097;13097
Saint-Étienne Carnot;87726901;42000;b;111406;139258;130599;163249;126283;157854.704917;143493;179366
Saint-Étienne La Terrasse;87726158;42000;b;92732;115915;109293;136617;108047;135059.241655;132894;166118
Saint-Étienne-de-Montluc;87481812;44360;c;83765;83765;86526;86526;97082;97082.048442;97388;97388
Saint-Étienne-du-Rouvray;87411215;76800;c;25943;25943;25475;25475;23572;23572.031424;25593;25593
Saint-Florentin - Vergigny;87683318;89600;c;60389;60389;68828;68828;64391;64391.723318;68353;68353
Saint-Gaudens;87611137;31800;b;181915;227394;264854;331067;257282;321603.749255;275238;344047
Saint-Genouph;87571851;37510;c;352;352;1104;1104;752;752.8;1025;1025
Saint-Georges-de-Commiers;87747568;38450;c;2002;2002;2083;2083;1896;1896.8;8558;8558
Saint-Georges-de-Luzençon;87783423;12100;c;1189;1189;1076;1076;2466;2466.54708;11473;11473
Saint-Germain-au-Mont-d'Or;87721282;69650;b;350384;437980;376630;470788;359983;449979.328882;356255;445319
Saint-Germain-en-Laye Bel-Air - Fourqueux;87366922;78100;b;665878;665878;410194;410194;257161;257161.78;254167;254167
Saint-Gilles Lycée Haut-Rhin;87181552;68920;c;53955;53955;62013;62013;63746;63746.619052;67659;67659
Saint-Gratien;87276170;95210;b;2754341;2754341;2857361;2857361;2919998;2919998.68741;2955883;2955883
Saint-Hilaire - Saint-Nazaire;87761684;38330;c;60475;60475;73427;73427;64778;64778.97462;57959;57959
Saint-Jean-Pied-de-Port;87673723;64220;c;50058;50058;54553;54553;53424;53424.214282;39027;39027
Saint-Julien-du-Sault;87683227;89330;c;26061;26061;28506;28506;24853;24853.602166;25646;25646
Saint-Laurent-d'Aigouze;87775841;30220;c;236;236;651;651;596;596.24;607;607
Saint-Laurent-de-la-Prée - Fouras;87485136;17450;c;27653;27653;37600;37600;32003;32003.497142;31888;31888
Saint-Laurent-du-Var;87756346;6700;b;702731;878414;727699;909624;576583;720728.944829;581727;727159
Saint-Louis;87182139;68300;b;1213711;1517138;1196624;1495780;1122561;1403202.19935;1116797;1395997
Saint-Mammès;87682294;77670;b;172847;172847;173639;173639;172315;172315.789373;167217;167217
Saint-Marcel en Dombes;87723742;1390;c;67676;67676;75858;75858;70139;70139.580064;68233;68233
Saint-Marcellin;87761718;38160;b;476660;595825;534373;667966;471767;589709.020607;479187;598984
Saint-Martin-du-Vivier;87411413;76160;c;4133;4133;5583;5583;5505;5505.534276;5394;5394
Saint-Martin-le-Beau;87574459;37270;c;44485;44485;46067;46067;45519;45519.682558;50221;50221
Saint-Martory;87611103;31360;c;1819;1819;3906;3906;2707;2707.948536;2770;2770
Saint-Médard-de-Guizières;87584607;33230;c;36412;36412;41114;41114;36113;36113.13337;31399;31399
Saint-Médard-d'Eyrans;87582692;33650;c;54341;54341;53116;53116;49780;49780.105046;55372;55372
Saint-Médard-sur-Ille;87478024;35250;c;33338;33338;43477;43477;43871;43871.115002;46537;46537
Saint-Michel Notre-Dame;87547315;75005;b;29171245;29171245;30766769;30766769;31980269;31980269.74;33003110;33003110
Saint-Nabord;87146217;88200;c;5103;5103;5094;5094;3978;3978.2;2351;2351
Saint-Ouen-l'Aumône Quartier de l'Église;87381426;95310;b;536598;536598;478870;478870;480297;480297.817142;488177;488177
Saint-Pierre-le-Moûtier;87696294;58240;c;8263;8263;7990;7990;10162;10162.30377;9946;9946
Saint-Roch;87313080;80000;c;65454;65454;66779;66779;71955;71955.329066;71790;71790
